"Date","Price","Open","High","Low","Vol.","Change %"
"04/25/2024","39.5257","39.5400","39.7618","39.4250","","-0.06%"
"04/24/2024","39.5510","39.5005","39.6691","39.2050","","0.13%"
"04/23/2024","39.5000","39.7250","39.8000","39.5402","","-0.25%"
"04/22/2024","39.6000","39.9000","39.9450","39.6423","","-0.56%"
"04/19/2024","39.8250","39.5500","39.9336","39.5350","","1.08%"
"04/18/2024","39.4000","39.5500","39.7648","39.4725","","-0.40%"
"04/17/2024","39.5600","39.5900","39.6752","39.4700","","0.03%"
"04/16/2024","39.5500","39.5900","39.7402","39.4775","","0.08%"
"04/15/2024","39.5200","39.3500","39.6564","39.3250","","0.82%"
"04/12/2024","39.2000","39.3000","39.5059","39.1500","","-0.08%"
